Type,Counter,Depth_m,Latitude,Longitude,Line_Name
MT_Site,72,-2224,2.05373558620443,-91.9619194890265,Ridge_Line_2
MT_Site,73,-1828,2.0934781985118,-91.9608349717979,Ridge_Line_2
MT_Site,74,-1885,2.13772262351336,-91.9566678101548,Ridge_Line_2
MT_Site,75,-2189,2.18550545513943,-91.9569217577292,Ridge_Line_2
MT_Site,76,-2200,2.23387861342426,-91.9533914578516,Ridge_Line_2
MT_Site,77,-2312,2.26965126442605,-91.9554730532695,Ridge_Line_2
MT_Site,78,-2394,2.36215989056796,-91.95540002495,Ridge_Line_2
MT_Site,79,-2257,1.61499862825181,-91.0956568301027,Transform_Line
MT_Site,80,-2195,1.61285326588072,-91.0441984993533,Transform_Line
MT_Site,81,-2163,1.61097655759783,-90.9898974685046,Transform_Line
MT_Site,82,-2211,1.61494313554201,-90.9386504506979,Transform_Line
MT_Site,83,-2001,1.61218205249516,-90.8957506064042,Transform_Line
MT_Site,84,-3495,1.61213783939604,-90.8186551022285,Transform_Line
MT_Site,85,-1996,1.6105470771555,-90.7615053855971,Transform_Line
MT_Site,86,-1817,1.61042199680409,-90.7243783744952,Transform_Line
MT_Site,87,-1897,1.61355189265065,-90.6844414374427,Transform_Line
MT_Site,88,-1591,1.61416390598642,-90.6387028858755,Transform_Line
MT_Site,89,-1717,1.61126902656868,-90.5986558741143,Transform_Line
MT_Site,90,-1939,1.61511874557657,-90.5500815041381,Transform_Line
MT_Site,91,-1451,0.91999,-91.455158,Lineament_Node
MT_Site,92,-2095,1.16165,-91.663957,Lineament_Node
MT_Site,93,-2034,1.293455,-91.776598,Lineament_Node
MT_Site,94,-2032,1.493896,-91.933198,Lineament_Node
MT_Site,95,-1645,1.776679,-92.111775,Lineament_Node
MT_Site,96,-2000,1.930407,-92.174965,Lineament_Node
MT_Site,97,-1923,2.023735,-92.133754,Lineament_Node
MT_Site,98,-1879,2.133526,-92.098039,Lineament_Node
MT_Site,99,-1865,2.093765,-92.11339,Lineament_Node
MT_Site,100,-2088,1.983971,-92.155974,Lineament_Node
Dredge_Site,1,-1747,0.702860524640022,-91.2145859884112,Dredge
Dredge_Site,2,-1163,0.751207685593555,-91.2736512017469,Dredge
Dredge_Site,3,-1706,0.932627189492307,-91.4868384129051,Dredge
Dredge_Site,4,-1470,1.08557680281201,-91.6270452335794,Dredge
Dredge_Site,5,-2020,1.29810152097485,-91.735661603665,Dredge
Dredge_Site,6,-1530,1.44599588255447,-91.9045008845498,Dredge
Dredge_Site,7,-1388,1.50931890000629,-92.0062946028848,Dredge
Dredge_Site,8,-1256,1.72200764178682,-92.06784440813,Dredge
Dredge_Site,9,-1785,1.79342697126162,-92.1257955771612,Dredge
Dredge_Site,10,-2189,1.94006231117208,-92.1916039262613,Dredge
Dredge_Site,11,-1992,2.01606324326256,-92.1504611444694,Dredge
Dredge_Site,12,-2105,2.04602372555424,-92.2481184502331,Dredge
Dredge_Site,13,-1820,2.12303477086815,-92.2925912811088,Dredge
Dredge_Site,14,-1780,2.10338039508203,-92.1795508753426,Dredge
Dredge_Site,15,-1801,2.11609653073778,-92.0633377714577,Dredge
Dredge_Site,16,-1719,2.093000835945,-91.8612153511876,Dredge
Dredge_Site,17,-1878,1.99412287695727,-91.7804734666752,Dredge
Dredge_Site,18,-1863,1.86730507000477,-91.7693171090743,Dredge
Dredge_Site,19,-1999,1.79134089785189,-91.7879802318787,Dredge
Dredge_Site,20,-1922,1.58311409789539,-91.6338824312818,Dredge
Dredge_Site,21,-1798,1.89587652601386,-91.1306235083742,Dredge
Dredge_Site,22,-1734,1.90090082285439,-91.2386044750944,Dredge
Dredge_Site,23,-1517,1.86395458227722,-91.2952726120318,Dredge
Dredge_Site,24,-1844,1.76388414071823,-91.3025956023348,Dredge
Dredge_Site,25,-1123,1.59668365085428,-91.2492549583805,Dredge
Dredge_Site,26,-1774,1.38292099176043,-91.1816006631333,Dredge
Dredge_Site,27,-1750,1.29168944393155,-91.1743316400245,Dredge
Dredge_Site,28,-1877,1.12019415871808,-91.0591357470353,Dredge
Dredge_Site,29,-1878,1.05940159598809,-91.0173212776099,Dredge
Dredge_Site,30,-2055,0.997601496956063,-90.9906676284996,Dredge
